Timestamp,Email address,1. What task do you need to do?,2.Which course is this task for?,3.When is the task due?,4.What type of task is it?,5.How much time does this task take?,6.Which year are you studying in?,7.Where do you usually do this task?,8.What is the priority of this task?
45752.618310185186,jacquelinefischer@example.com,Collect dataset,AIML,45806.83380787037,Exam Preparation,1 hour,3rd year,Home and college,Medium
45750.172326388885,natasha50@example.net,Project,It,45805.37532407408,Written Work,1 hour,2nd year,Home,Medium
45759.07653935185,robert93@example.net,Prepare,DBMS,45792.960381944446,Placement Preparation,1 hour,3rd year,Home,Medium
45753.0141087963,douglaskey@example.net,Study,IoT,45789.509409722225,Exam Preparation,>3 hours,3rd year,Home and college,Medium
45755.46549768518,anabrown@example.org,Assignment,Ios,45787.59747685185,Seminar Preparation,1 hour,2nd year,Home and college,Medium
45772.32266203704,williamsmith@example.org,Collect dataset,Evs,45796.70303240741,Class Test,1-2 hours,3rd year,Home,Medium
45777.310069444444,bstevens@example.net,Study,DBMS,45782.763715277775,Seminar Preparation,>3 hours,3rd year,Home,Medium
45771.226006944446,bshaw@example.net,Collect dataset,Not Course Related,45803.71927083333,Project,2-3 hours,3rd year,Home and college,Medium
45750.11020833333,sanchezstephanie@example.com,Collect dataset,Not Course Related,45808.900405092594,Exam Preparation,2-3 hours,3rd year,Home,Medium
45775.20385416667,martinezjennifer@example.net,Prepare,AIML,45792.29074074074,Project,1 hour,3rd year,Home,Medium
45769.678136574075,cmoreno@example.net,Assignment,Renewable Energy,45780.67585648148,Exam Preparation,2-3 hours,3rd year,Home and college,Medium
45759.2478125,brownreginald@example.net,Project,AIML,45793.92875,Quiz Preparation,>3 hours,3rd year,Home,Medium
45769.409791666665,courtney53@example.com,Assignment,Video Editing,45804.15912037037,Project,1-2 hours,3rd year,Home,Medium
45749.683344907404,nielsendavid@example.org,Study,Video Editing,45783.17784722222,Assignment,1-2 hours,2nd year,Home and college,Medium
45752.00769675926,russell30@example.net,Seminar,IoT,45808.02916666667,Exam Preparation,1 hour,2nd year,Home,Medium
45770.892476851855,kathryn42@example.com,Project,TOC,45800.074166666665,Project,>3 hours,3rd year,Home and college,Medium
45774.62778935185,mterrell@example.com,Assignment,Python,45784.49638888889,Exam Preparation,1 hour,3rd year,Home,Medium
45752.14502314815,jade94@example.com,Project,Cloud Computing,45801.398148148146,Written Work,1-2 hours,3rd year,Home,Medium
45756.79274305556,michele67@example.net,Collect dataset,Mobile Application Development,45782.67282407408,Seminar Preparation,>3 hours,3rd year,Home,Medium
45756.81333333333,lisa21@example.net,Seminar,DBMS,45802.10119212963,Exam Preparation,1 hour,3rd year,Home,Medium
45769.956921296296,bnicholson@example.com,Seminar,Not Course Related,45798.570752314816,Assignment,>3 hours,3rd year,Home,Medium
45767.126539351855,stanleyfrank@example.org,Collect dataset,Cloud Computing,45803.13884259259,Written Work,>3 hours,3rd year,Home,Medium
45769.020590277774,jordan16@example.net,Project,Cloud Computing,45801.695914351854,Exam Preparation,>3 hours,3rd year,Home,Medium
45751.71199074074,tammy24@example.org,Project,DBMS,45809.02664351852,Exam Preparation,2-3 hours,2nd year,Home and college,Medium
45761.179189814815,mlynch@example.net,Project,Renewable Energy,45801.97243055556,Seminar Preparation,>3 hours,3rd year,Home and college,Medium
45773.974907407406,moorecharles@example.net,Seminar,DBMS,45798.51672453704,Exam Preparation,1 hour,3rd year,Home,Medium
45777.672372685185,kurt11@example.com,Prepare,IoT,45798.70924768518,Project,2-3 hours,3rd year,Home,Medium
45757.492268518516,fisherstephanie@example.net,Study,Not Course Related,45800.22226851852,Project,2-3 hours,3rd year,Home,Medium
45772.56728009259,lovekathleen@example.com,Study,Not Course Related,45796.562743055554,Exam Preparation,>3 hours,2nd year,Home,Medium
45759.64818287037,wilsonjames@example.net,Assignment,DBMS,45779.847025462965,Exam Preparation,1 hour,3rd year,Home,Medium
45779.490324074075,markssarah@example.com,Collect dataset,Video Editing,45780.446018518516,Exam Preparation,1 hour,2nd year,Home,Medium
45771.739016203705,richardhernandez@example.net,Project,CSE,45794.58634259259,Exam Preparation,2-3 hours,2nd year,Home,Medium
45750.64262731482,antonio72@example.com,Project,IoT,45780.770150462966,Exam Preparation,1 hour,3rd year,Home and college,Medium
45764.0078587963,valenzuelamarco@example.org,Study,AIML,45789.04971064815,Project,1-2 hours,3rd year,Home,Medium
45758.88528935185,christopher35@example.org,Project,Renewable Energy,45792.53340277778,Exam Preparation,>3 hours,2nd year,Home and college,Medium
45763.70138888889,belllindsey@example.com,Seminar,Evs,45795.3584375,Assignment,>3 hours,3rd year,Home,Medium
45754.62299768518,gardnertimothy@example.com,Assignment,AIML,45807.01751157407,Project,>3 hours,3rd year,Home and college,Medium
45775.68591435185,xryan@example.com,Study,AIML,45801.51621527778,Project,1-2 hours,3rd year,Home,Medium
45773.09385416667,jennawagner@example.org,Collect dataset,Not Course Related,45786.05819444444,Project,1 hour,3rd year,Home,Medium
45755.89592592593,christinehall@example.net,Prepare,Ios,45799.97591435185,Project,2-3 hours,3rd year,Home,Medium
45778.31203703704,aolson@example.net,Prepare,Video Editing,45798.70425925926,Quiz Preparation,2-3 hours,3rd year,Home,Medium
45765.16123842593,csmith@example.net,Study,IoT,45780.03078703704,Seminar Preparation,1 hour,3rd year,Home,Medium
45778.29929398148,ashleyyork@example.org,Project,IoT,45809.46026620371,Written Work,2-3 hours,3rd year,Home and college,Medium
45776.16787037037,elizabethcaldwell@example.com,Assignment,Not Course Related,45796.671122685184,Exam Preparation,2-3 hours,3rd year,Home,Medium
45761.86746527778,marcuswright@example.net,Seminar,Mathematics,45791.52174768518,Assignment,>3 hours,3rd year,Home and college,Medium
45758.733136574076,clarktiffany@example.com,Collect dataset,Big Data Analytics,45793.97837962963,Project,1-2 hours,3rd year,Home and college,Medium
45774.24866898148,chadthomas@example.org,Project,IoT,45790.935266203705,Placement Preparation,2-3 hours,3rd year,Home,Medium
45771.156493055554,keycynthia@example.net,Seminar,OOSE,45808.253657407404,Exam Preparation,1 hour,3rd year,Home,Medium
45764.79420138889,talvarado@example.org,Collect dataset,DBMS,45794.461388888885,Project,1 hour,3rd year,Home,Medium
45751.31763888889,michellehamilton@example.org,Seminar,TOC,45782.87962962963,Project,2-3 hours,3rd year,Home,Medium
45749.90180555556,valeriesandoval@example.org,Assignment,IoT,45785.48783564815,Project,>3 hours,3rd year,Home,Medium
45769.871979166666,angelica84@example.com,Project,Not Course Related,45789.56298611111,Project,2-3 hours,3rd year,Home,Medium
45758.40363425926,hunterlori@example.com,Seminar,Mathematics,45781.22143518519,Project,1 hour,3rd year,Home,Medium
45776.18208333333,mwatts@example.org,Assignment,Renewable Energy,45805.26903935185,Exam Preparation,1-2 hours,3rd year,Home,Medium
45757.55400462963,obaker@example.net,Assignment,CSE,45792.53423611111,Project,1-2 hours,3rd year,Home,Medium
45766.36251157407,jason77@example.org,Project,Not Course Related,45807.86796296296,Exam Preparation,1 hour,3rd year,Home and college,Medium
45764.04539351852,ashley60@example.org,Assignment,Javascript,45782.86827546296,Project,>3 hours,2nd year,Home and college,Medium
45755.05611111111,tnguyen@example.com,Seminar,Not Course Related,45787.03009259259,Placement Preparation,>3 hours,3rd year,Home,Medium
45758.75974537037,castillomatthew@example.org,Study,Not Course Related,45789.87571759259,Class Test,1-2 hours,3rd year,Home,Medium
45755.43,dianegarcia@example.org,Seminar,Video Editing,45807.40280092593,Seminar Preparation,1 hour,3rd year,Home,Medium
45767.68523148148,tracey24@example.net,Study,TOC,45800.46943287037,Quiz Preparation,>3 hours,3rd year,Home,Medium
45763.65445601852,jcox@example.org,Seminar,Video Editing,45786.03675925926,Exam Preparation,2-3 hours,2nd year,Home,Medium
45759.61173611111,ncooper@example.com,Assignment,Not Course Related,45782.89204861111,Exam Preparation,1 hour,3rd year,Home,Medium
45773.13447916666,michellehall@example.org,Collect dataset,IoT,45786.63821759259,Assignment,2-3 hours,3rd year,Home,Medium
45764.66767361111,eholmes@example.org,Project,IoT,45800.29114583333,Project,2-3 hours,4th year,Home and college,Medium
45757.15076388889,codymccullough@example.com,Collect dataset,Renewable Energy,45800.92628472222,Project,>3 hours,3rd year,Home and college,Medium
45753.62258101852,zbean@example.com,Prepare,AIML,45809.289606481485,Written Work,>3 hours,3rd year,Home,Medium
45750.97069444445,awolfe@example.net,Project,Video Editing,45780.57853009259,Test,>3 hours,2nd year,Home,Medium
45778.885300925926,taraperry@example.org,Assignment,Not Course Related,45785.67244212963,Project,>3 hours,2nd year,Home,Medium
45755.37604166667,erik05@example.org,Project,Evs,45789.057708333334,Project,>3 hours,3rd year,Home,Medium
45756.19449074074,kevinduncan@example.org,Collect dataset,Not Course Related,45793.1955787037,Seminar Preparation,1 hour,3rd year,Home,Medium
45753.225277777776,crystalpeters@example.org,Seminar,Not Course Related,45795.50493055556,Project,2-3 hours,3rd year,Home,Medium
45753.058483796296,qvasquez@example.com,Seminar,OOSE,45790.835694444446,Exam Preparation,1 hour,3rd year,Home,Medium
45758.95747685185,teverett@example.com,Seminar,TOC,45782.944560185184,Placement Preparation,1 hour,2nd year,Home,Medium
45755.537673611114,kellyking@example.net,Study,IoT,45798.54180555556,Exam Preparation,>3 hours,3rd year,Home and college,Medium
45773.97230324074,abigail91@example.net,Collect dataset,Python,45802.45259259259,Project,>3 hours,2nd year,Home,Medium
45758.84842592593,alexandra57@example.org,Assignment,Renewable Energy,45802.62501157408,Assignment,30 min,3rd year,Home,Medium
45771.09577546296,hgarza@example.org,Study,IoT,45783.90856481482,Exam Preparation,1 hour,3rd year,Home,Medium
45768.42496527778,erikabradley@example.net,Collect dataset,Not Course Related,45804.74240740741,Project,2-3 hours,3rd year,Home and college,Medium
45774.999074074076,jonesapril@example.org,Assignment,Not Course Related,45801.485925925925,Observation,2-3 hours,3rd year,Home and college,Medium
45772.249375,scott66@example.net,Assignment,Renewable Energy,45808.65981481481,Observation,>3 hours,2nd year,Home,Medium
45753.809849537036,jcarter@example.org,Study,IoT,45800.009108796294,Exam Preparation,>3 hours,3rd year,Home,Medium
45761.634108796294,benjamingarcia@example.net,Project,OOSE,45804.883726851855,Exam Preparation,>3 hours,2nd year,Home,Medium
45770.35496527778,emeyer@example.net,Project,OOSE,45788.23017361111,Exam Preparation,>3 hours,3rd year,Home and college,Medium
45754.47201388889,ronald37@example.net,Collect dataset,Not Course Related,45804.39958333333,Project,>3 hours,3rd year,Home,Medium
45759.792604166665,tmaldonado@example.org,Assignment,IoT,45790.97524305555,Project,1-2 hours,3rd year,Home and college,Medium
45777.81623842593,brycerobinson@example.net,Study,Not Course Related,45781.46265046296,Exam Preparation,1-2 hours,3rd year,Home and college,Medium
45774.54451388889,brubio@example.com,Assignment,OOSE,45807.86219907407,Placement Preparation,>3 hours,3rd year,Home and college,Medium
45754.780798611115,peter30@example.com,Assignment,OOSE,45782.12263888889,Short Film,>3 hours,3rd year,Home,Medium
45764.55290509259,joshua36@example.org,Seminar,AIML,45798.64892361111,Project,1 hour,3rd year,Home,Medium
45767.183171296296,ypearson@example.net,Prepare,CSE,45783.924259259256,Project,>3 hours,3rd year,Home and college,Medium
45778.459386574075,lowekristen@example.net,Assignment,Ios,45794.01023148148,Project,2-3 hours,3rd year,Home and college,Medium
45770.9447337963,snovak@example.org,Assignment,Python,45783.76792824074,Project,2-3 hours,3rd year,Home,Medium
45762.03775462963,kelsey24@example.net,Prepare,Not Course Related,45808.919375,Exam Preparation,>3 hours,2nd year,Home,Medium
45759.32534722222,patricia81@example.org,Prepare,Big Data Analytics,45808.52006944444,Placement Preparation,2-3 hours,3rd year,Home and college,Low
45765.039502314816,jenniferstewart@example.net,Study,Video Editing,45804.44646990741,Exam Preparation,>3 hours,3rd year,Home and college,Low
45759.86071759259,rileywilliam@example.com,Study,AIML,45805.802835648145,Class Test,2-3 hours,3rd year,Home and college,Low
45779.41961805556,welchamanda@example.org,Seminar,Mobile Application Development,45797.45167824074,Exam Preparation,>3 hours,2nd year,Home,Low
45774.55440972222,westalex@example.net,Collect dataset,IoT,45801.70166666667,Project,2-3 hours,3rd year,Home,Low
45772.85246527778,isexton@example.net,Seminar,TOC,45794.80774305556,Exam Preparation,1-2 hours,3rd year,Home,Low
45757.047476851854,lesterangela@example.org,Collect dataset,AIML,45787.612175925926,Quiz Preparation,>3 hours,3rd year,Home,Low
45750.25067129629,catherinemartin@example.net,Prepare,CSE,45783.60591435185,Project,2-3 hours,3rd year,Home,Low
45769.271261574075,morrisalicia@example.org,Study,Video Editing,45782.59523148148,Exam Preparation,2-3 hours,3rd year,Home,Low
45765.925416666665,dwest@example.org,Prepare,Algorithm,45802.29318287037,Project,>3 hours,3rd year,Home,Low
45759.87670138889,garciabeth@example.com,Assignment,Cloud Computing,45795.93708333333,Project,2-3 hours,3rd year,Home,Low
45769.919490740744,michaelhubbard@example.org,Project,OOSE,45792.17049768518,Assignment,>3 hours,3rd year,Home,Low
45769.7762037037,pamela69@example.org,Prepare,It,45781.54903935185,Project,>3 hours,3rd year,Home,Low
45753.04436342593,frostdouglas@example.org,Study,Video Editing,45792.93407407407,Project,1-2 hours,2nd year,Home,Low
45763.95824074074,donnahunt@example.net,Project,Not Course Related,45808.19490740741,Exam Preparation,1 hour,2nd year,Home and college,Low
45778.921006944445,juarezjohn@example.net,Prepare,Javascript,45797.77825231481,Quiz Preparation,1-2 hours,3rd year,Home,Low
45773.5519212963,hporter@example.net,Prepare,CSE,45809.61988425926,Exam Preparation,>3 hours,3rd year,Home,Low
45755.19038194444,ncantu@example.net,Assignment,Algorithm,45796.520474537036,Written Work,1 hour,3rd year,Home,Low
45769.40380787037,emily13@example.org,Project,Javascript,45784.69633101852,Exam Preparation,1 hour,2nd year,Home,Low
45770.10568287037,ashley80@example.net,Study,App Development,45808.250972222224,Exam Preparation,>3 hours,3rd year,Home,Low
45760.748240740744,csmith@example.com,Prepare,Video Editing,45796.26452546296,Project,2-3 hours,3rd year,Home,Low
45756.244618055556,hutchinsoncourtney@example.net,Study,TOC,45807.78533564815,Assignment,1 hour,2nd year,Home,Low
45762.556863425925,sking@example.com,Collect dataset,IoT,45796.623935185184,Exam Preparation,2-3 hours,3rd year,Home and college,Low
45760.53737268518,ann46@example.net,Project,IoT,45798.67003472222,Exam Preparation,1-2 hours,3rd year,Home,Low
45763.07467592593,adrian23@example.org,Assignment,AIML,45793.91866898148,Exam Preparation,30 min,3rd year,Home,Low
45779.414247685185,jamie14@example.com,Project,Not Course Related,45791.82302083333,Assignment,>3 hours,3rd year,Home,Low
45761.904340277775,orrmichael@example.net,Seminar,Video Editing,45791.16165509259,Project,1 hour,3rd year,Home,Low
45764.54491898148,orussell@example.com,Seminar,Not Course Related,45787.61001157408,Observation,2-3 hours,3rd year,Home,Low
45751.57329861111,heathermills@example.org,Study,OOSE,45800.20459490741,Exam Preparation,2-3 hours,2nd year,Home,Low
45757.06628472222,curtishouston@example.org,Study,Not Course Related,45808.865011574075,Class Test,>3 hours,3rd year,Home,Low
45755.16564814815,jessicahunt@example.net,Assignment,Video Editing,45786.609456018516,Exam Preparation,1-2 hours,3rd year,Home,Low
45778.74831018518,oliverstacy@example.com,Study,Not Course Related,45804.47405092593,Exam Preparation,1 hour,2nd year,Home,Low
45777.58452546296,zgiles@example.com,Project,CSE,45783.921793981484,Test,1-2 hours,3rd year,Home,Low
45775.4028587963,keith25@example.org,Project,Cloud Computing,45786.464004629626,Exam Preparation,>3 hours,3rd year,Home and college,Low
45760.86871527778,eugene76@example.org,Seminar,Renewable Energy,45793.60599537037,Seminar Preparation,1 hour,3rd year,Home,Low
45777.56009259259,cobbelaine@example.net,Project,Not Course Related,45807.77611111111,Placement Preparation,30 min,3rd year,Home and college,Low
45766.58373842593,theresa05@example.net,Project,TOC,45783.7428125,Exam Preparation,>3 hours,3rd year,Home,Low
45776.7625,kingnicole@example.net,Seminar,Game Development,45781.77258101852,Exam Preparation,1 hour,3rd year,Home and college,Low
45751.68,ymartinez@example.com,Study,Not Course Related,45808.59622685185,Quiz Preparation,>3 hours,3rd year,Home,Low
45774.04498842593,calhountodd@example.net,Assignment,AIML,45809.449953703705,Written Work,>3 hours,2nd year,Home,Low
45751.49748842593,gerald69@example.com,Assignment,AIML,45795.82644675926,Project,>3 hours,3rd year,Home,Low
45761.44978009259,walkermarcus@example.net,Collect dataset,Renewable Energy,45789.04172453703,Exam Preparation,2-3 hours,3rd year,Home and college,Low
45752.072604166664,fabbott@example.com,Project,Cloud Computing,45790.895266203705,Quiz Preparation,1 hour,3rd year,Home and college,Low
45766.5609837963,kayla07@example.org,Assignment,Video Editing,45787.369791666664,Seminar Preparation,>3 hours,3rd year,Home and college,Low
45775.36530092593,bethavila@example.org,Collect dataset,TOC,45800.21503472222,Project,1-2 hours,3rd year,Home,Low
45777.80075231481,vickie21@example.com,Seminar,OOSE,45787.55079861111,Teaching,>3 hours,3rd year,Home,Low
45769.99451388889,mahoneynicole@example.org,Prepare,OOSE,45788.490219907406,Teaching,30 min,3rd year,Home,Low
45750.91956018518,knightricky@example.com,Study,App Development,45796.207650462966,Exam Preparation,>3 hours,3rd year,Home,Low
45755.764872685184,erodriguez@example.net,Seminar,Mobile Application Development,45789.29486111111,Exam Preparation,1 hour,3rd year,Home,Low
45764.255428240744,pricedanielle@example.com,Project,Mobile Application Development,45784.26028935185,Project,>3 hours,3rd year,Home,Low
45754.242731481485,amberrodriguez@example.org,Seminar,IoT,45809.51354166667,Quiz Preparation,2-3 hours,3rd year,Home,Low
45770.3609375,natasha02@example.net,Prepare,Not Course Related,45787.71283564815,Class Test,>3 hours,3rd year,Home,Low
45769.69662037037,gparrish@example.net,Assignment,OOSE,45799.97650462963,Exam Preparation,2-3 hours,3rd year,Home and college,Low
45761.26631944445,jameskelly@example.com,Study,AIML,45795.38630787037,Assignment,1 hour,3rd year,Home,Low
45762.78449074074,hughesmichelle@example.net,Project,Not Course Related,45783.24630787037,Exam Preparation,>3 hours,3rd year,Home,Low
45759.289131944446,sandra87@example.com,Project,CSE,45790.43475694444,Quiz Preparation,1 hour,3rd year,Home and college,Low
45774.49513888889,oscarchapman@example.org,Prepare,Not Course Related,45805.94704861111,Teaching,1 hour,3rd year,Home,Low
45776.18724537037,williamjohnson@example.com,Project,Cloud Computing,45797.00324074074,Preparation,1 hour,3rd year,Home,Low
45771.826585648145,leemegan@example.net,Seminar,IoT,45793.53346064815,Quiz Preparation,>3 hours,2nd year,Home,Low
